Name,Pfeil.Sprung,Cargo.Netz.mit.Stange,Domino.Weg,Trommelwirbel,Tunnel.Sprung.2.0,Himmelsleiter,Einraster,Wand,Mega.Wand,Power.Tower,Zeit,Gefallen,Geschafft,Bezwungen
Oliver Edelmann      ,1,1,1,1,1,1,1,1,0,1,2:58.95m,0,8, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Michael Streif      ,1,1,1,1,1,1,1,1,0,0,4:22.72m,Power.Tower,8, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Alexander Haidamak      ,1,1,1,1,1,1,1,1,0,, 4:44.40m,0,8, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Stefanie Noppinger      ,1,1,1,1,1,1,1,1,0,, 4:55.55m,0,8, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Mark Degebrodt      ,1,1,1,1,1,1,1,1,0,, 5:26.20m,0,8, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter Einraster Wand
Jun Kim     ,1,1,1,1,1,1,0,0,0,,  2:27.33m ,Einraster,6, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Joel Mattli   ,1,1,1,1,1,1,0,0,0,,1:45.50m ,Einraster,6, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Nico Hädicke      ,1,1,1,1,1,1,0,0,0,,3:34.23m ,Einraster,6, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Niklas Weber   ,1,1,1,1,1,1,0,0,0,,3:47.27m ,Einraster,6, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Matthias Maag      ,1,1,1,1,1,1,0,0,0,,4:02.70m ,Einraster,6, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0 Himmelsleiter
Gary Hines   ,1,1,1,1,1,0,0,0,0,, 1:35.80m,Himmelsleiter,5, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel Tunnel.Sprung.2.0
Marco Faußer      ,1,1,1,1,0,0,0,0,0,,1:49.80m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel
Dominik Staudacher      ,1,1,1,1,0,0,0,0,0,,2:31.82m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel
Michael Schuster      ,1,1,1,1,0,0,0,0,0,,2:47.10m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel
Giulia Natale      ,1,1,1,1,0,0,0,0,0,,4:02.80m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel
Norbert Schwarz      ,1,1,1,1,0,0,0,0,0,,1:18.10m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel
Andie Saleh   ,1,1,1,1,0,0,0,0,0,, 1:45.60m,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel
Jörg Eißmann      ,1,1,1,1,0,0,0,0,0,,2:56.50m ,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel
Alix Arndt     ,1,1,1,1,0,0,0,0,0,, 4:00.73m,Tunnel.Sprung.2.0,4, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg Trommelwirbel
Ali Moussa     ,1,1,1,0,0,0,0,0,0,,  37.96s ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Tim Reuber     ,1,1,1,0,0,0,0,0,0,,  1:04.10m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Mario Becker   ,1,1,1,0,0,0,0,0,0,, 1:09.30m,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Lukas Kohl     ,1,1,1,0,0,0,0,0,0,,  1:21.00m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Mariusz Gniatkowski-Schlüsselburg ,1,1,0,0,0,0,0,0,0,,1:22.30m ,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Chiara Gremes      ,1,1,1,0,0,0,0,0,0,,  1:25.90m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Stephan Görtz      ,1,1,1,0,0,0,0,0,0,,1:26.40m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Jürgen Krekel      ,1,1,1,0,0,0,0,0,0,,1:28.69m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Eduard Müller      ,1,1,1,0,0,0,0,0,0,,1:35.73m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Uwe Andorfer   ,1,1,1,0,0,0,0,0,0,, 1:40.80m,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Roy Matthey   ,1,1,1,0,0,0,0,0,0,, 1:41.30m,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Matthias Röder      ,1,1,1,0,0,0,0,0,0,,1:41.70m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Davina Fisseler      ,1,1,1,0,0,0,0,0,0,,1:42.60m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Jaroslaw Mostek      ,1,1,1,0,0,0,0,0,0,,1:44.22m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Jens Bartsch   ,1,1,1,0,0,0,0,0,0,, 2:06.70m,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Angelo Matimbe      ,1,1,1,0,0,0,0,0,0,,2:07.90m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Sabrina Schlacher      ,1,1,1,0,0,0,0,0,0,,2:45.60m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Viola Weiermüller      ,1,1,1,0,0,0,0,0,0,,3:02.63m ,Trommelwirbel,3, Pfeil.Sprung Cargo.Netz.mit.Stange Domino.Weg
Matthias Klemke      ,1,1,0,0,0,0,0,0,0,,49.84s ,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Ramona Beckmann      ,1,1,0,0,0,0,0,0,0,,2:13.39m ,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Heiko Burchard-Kraus      ,1,1,0,0,0,0,0,0,0,,1:34.00m ,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Miriam Schmidt      ,1,1,0,0,0,0,0,0,0,,  1:41.20m ,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Viola Riechert      ,1,1,0,0,0,0,0,0,0,,  51.24s ,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Kathrin Kunz   ,1,1,0,0,0,0,0,0,0,, 54.55s,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Pietro Farsetta   ,1,1,0,0,0,0,0,0,0,,1:08.80m ,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Jonas Panz     ,1,1,0,0,0,0,0,0,0,,  28.79s ,Domino.Weg,2, Pfeil.Sprung Cargo.Netz.mit.Stange
Thomas Burrey      ,1,0,0,0,0,0,0,0,0,, 16.76s,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Stefanie Ballok      ,1,0,0,0,0,0,0,0,0,,  18.04s ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Tanja König   ,1,0,0,0,0,0,0,0,0,,  18.26s ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Nafiz Yilmaz   ,1,0,0,0,0,0,0,0,0,,  41.54s ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Paul Pasytsch      ,1,0,0,0,0,0,0,0,0,, 43.22s,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Dennis Recka   ,1,0,0,0,0,0,0,0,0,,  46.05s ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Christoph Thome      ,1,0,0,0,0,0,0,0,0,,  46.55s ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Patricio Cataldo      ,1,0,0,0,0,0,0,0,0,,50.50s ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Steffen Oppermann      ,1,0,0,0,0,0,0,0,0,,1:11.78m ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Caroline Brunner      ,1,0,0,0,0,0,0,0,0,,1:25.00m ,Cargo.Netz.mit.Stange,1, Pfeil.Sprung
Louis Görtz   ,0,0,0,0,0,0,0,0,0,,  15.86s ,Pfeil.Sprung,0,NA
Dominik Neubig      ,0,0,0,0,0,0,0,0,0,, 22.15s,Pfeil.Sprung,0,NA
Alisa Govzmann      ,0,0,0,0,0,0,0,0,0,, 24.73s,Pfeil.Sprung,0,NA
Juliet Abayomi      ,0,0,0,0,0,0,0,0,0,, 25:25.70m,Pfeil.Sprung,0,NA
Thomas Libertus      ,0,0,0,0,0,0,0,0,0,, 8.21s  ,Pfeil.Sprung,0,NA
